study_id,composition,dopant_family,Cu_stoichiometry,zT_350C,zT_max,zT_max_temp_C,zT_max_temp_K,seebeck_350C_uVK,seebeck_at_zTmax_uVK,conductivity_350C_1e4Sm,conductivity_at_zTmax_1e4Sm,thermal_conductivity_350C_WmK,thermal_conductivity_at_zTmax_WmK,carrier_concentration_cm3,synthesis,compaction,sintering_type,sintering_temp_K,sintering_temp_C,relative_density_pct,density_g_cm3,theoretical_density_g_cm3,density_reference,remarks,citation
Harish 2016,Cu10.5Zn1.5Sb4S13,Zn,10.5,,0.038,300.0,573.0,,158.39,,0.04,,0.54,,MA steel jar 150rpm 30h. 573K 6h,SPS 50MPa 723K graphite die,SPS,723.0,,98.0,4.8,4.91,,,"Harish, S., Sivaprahasam, D., Battabyal, M., & Gopalan, R. (2016). Phase stability and thermoelectric properties of Cu10.5Zn1.5Sb4S13 tetrahedrite. Journal of Alloys and Compounds, 667, 323–328. https://doi.org/10.1016/j.jallcom.2016.01.094"
Lopez 2021,Cu10.5Zn1.5,Zn,10.5,0.06,0.05,350.0,,146.0,146.0,0.15,0.15,0.4,0.4,,MA YPSZ jar 350rpm 6h,HP 350C (1h) 5ton/cm^2,HP,623.0,,83.16430020283975,4.1,4.93,,,"López Cota, F. A., Díaz-Guillén, J. A., Juan Dura, O., López de la Torre, M. A., Rodríguez-Hernández, J., & Fernández Fuentes, A. (2021). Mechanosynthesis and thermoelectric properties of fe, zn, and cd-doped p-type tetrahedrite: Cu12-x mx sb4 s13. Materials, 14(13). https://doi.org/10.3390/ma14133448"
Lopez 2021,Cu10Zn2,Zn,10.0,0.02,0.02,350.0,,152.0,152.0,0.07,0.07,0.43,0.43,,MA YPSZ jar 350rpm 6h,HP 350C (1h) 5ton/cm^3,HP,623.0,,87.2210953346856,4.3,4.93,,,"López Cota, F. A., Díaz-Guillén, J. A., Juan Dura, O., López de la Torre, M. A., Rodríguez-Hernández, J., & Fernández Fuentes, A. (2021). Mechanosynthesis and thermoelectric properties of fe, zn, and cd-doped p-type tetrahedrite: Cu12-x mx sb4 s13. Materials, 14(13). https://doi.org/10.3390/ma14133449"
Morelli 2020,Cu11.5Fe0.5,Fe,11.5,,0.83,400.0,,,,,,,,,quartz ampoule.  923K. 12h,CP 723K 2 weeks + BM(30min) +HP 80MPa 30min 723K,HP,723.0,,98.0,,,,,Morelli. (2009). United States Patent ( Continued ) ( 71 ) Applicant : BOARD OF TRUSTEES OF. https://doi.org/10.1002/aenm.201200650/abstract
Morelli 2020,Cu11.8Fe0.2,Fe,11.8,,0.77,400.0,,,,,,,,,quartz ampoule.  923K. 12h,CP 723K 2 weeks + BM(30min) +HP 80MPa 30min 723K,HP,723.0,,98.0,,,,,Morelli. (2009). United States Patent ( Continued ) ( 71 ) Applicant : BOARD OF TRUSTEES OF. https://doi.org/10.1002/aenm.201200650/abstract
Ojha 2024,Cu10FeZn,Fe+Zn,10.0,0.03,0.05,427.0,700.0,212.0,220.0,0.105,0.132,1.1,0.98,,BM 200rpm 12h,HP 50MPa 2h 773K,HP,773.0,,95.0,,,,,Ojha. A.. R. A.. & Bathula. S. (2024). Augmentation in the thermoelectric performance by integrating the natural minerals with synthetic tetrahedrite compounds. Materials Science in Semiconductor Processing. 180. https://doi.org/10.1016/j.mssp.2024.108562
Tippireddy 2018,Cu11.5Fe0.5,Fe,11.5,0.54,0.6,400.0,673.0,168.32,,3.33,,1.09,1.1,,quartz ampule. 973K 3ho,Annealing: 773K 30h + HP 30MPa at 823K 2h,HP,823.0,,95.0,,,,,Tippireddy. S.. Chetty. R.. Naik. M. H.. Jain. M.. Chattopadhyay. K.. & Mallik. R. C. (2018). Electronic and Thermoelectric Properties of Transition Metal Substituted Tetrahedrites. Journal of Physical Chemistry C. 122(16). 8735–8749. https://doi.org/10.1021/acs.jpcc.7b12214
Kim_2020,Cu11.9Fe0.1,Fe,11.9,0.53,0.76,450.0,723.0,172.81,179.0,2.5939020000000004,2.6,0.87,0.79,5e+18,Steel jar. 350rpm 24h,HP 723K 70Mp 2h,HP,723.0,,99.0,,,,,Kim. S. Y.. Pi. J. H.. Lee. G. E.. & Kim. I. H. (2020). Synthesis of fe-doped tetrahedrites Cu12-xFexSb4S13 and characterization of their thermoelectric properties. Journal of Korean Institute of Metals and Materials. 58(5). 340–347. https://doi.org/10.3365/KJMM.2020.58.5.340
Kim_2020,Cu11.8Fe0.2,Fe,11.8,0.61,0.8,450.0,723.0,186.98,179.0,2.06409,2.6,0.72,0.68,7e+18,Steel jar. 350rpm 24h,HP 723K 70Mp 2h,HP,723.0,,100.0,,,,,Kim. S. Y.. Pi. J. H.. Lee. G. E.. & Kim. I. H. (2020). Synthesis of fe-doped tetrahedrites Cu12-xFexSb4S13 and characterization of their thermoelectric properties. Journal of Korean Institute of Metals and Materials. 58(5). 340–347. https://doi.org/10.3365/KJMM.2020.58.5.340
Kim_2020,Cu11.7Fe0.3,Fe,11.7,0.55,0.74,450.0,723.0,211.39,179.0,1.30701,2.6,0.65,0.64,5.7e+18,Steel jar. 350rpm 24h,HP 723K 70Mp 2h,HP,723.0,,100.0,,,,,Kim. S. Y.. Pi. J. H.. Lee. G. E.. & Kim. I. H. (2020). Synthesis of fe-doped tetrahedrites Cu12-xFexSb4S13 and characterization of their thermoelectric properties. Journal of Korean Institute of Metals and Materials. 58(5). 340–347. https://doi.org/10.3365/KJMM.2020.58.5.340
Kim_2020,Cu11.6Fe0.4,Fe,11.6,0.39,0.55,450.0,723.0,234.62,224.0,0.697286,0.99,0.61,0.64,3.7e+18,Steel jar. 350rpm 24h,HP 723K 70Mp 2h,HP,723.0,,98.0,,,,,Kim. S. Y.. Pi. J. H.. Lee. G. E.. & Kim. I. H. (2020). Synthesis of fe-doped tetrahedrites Cu12-xFexSb4S13 and characterization of their thermoelectric properties. Journal of Korean Institute of Metals and Materials. 58(5). 340–347. https://doi.org/10.3365/KJMM.2020.58.5.340
Heo 2014,Cu10 Fe2,Fe,10.0,,0.01,302.0,575.0,,,0.005,0.005,0.2,0.2,,quartz tube.  723 K (3weeks). BM(5min),HP 723 K (2h) 10 Mpa (density is 85%),HP,723.0,,85.0,,,,,Heo. J.. Laurita. G.. Muir. S.. Subramanian. M. A.. & Keszler. D. A. (2014). Enhanced thermoelectric performance of synthetic tetrahedrites. Chemistry of Materials. 26(6). 2047–2051. https://doi.org/10.1021/cm404026k
Weller 2018,Cu11Fe1,Fe,11.0,0.36,0.46,400.0,673.0,235.0,230.0,0.5,0.53,0.48,0.47,,steel jar. 300rpm 48h,SPS 573 K (10min) 40MPa,SPS,573.0,,93.0,,,,negative Seebeck from 80K to 310K,"Weller, D. P., Kunkel, G. E., Ochs, A. M., Morelli, D. T., & Anderson, M. E. (2018). Observation of n-type behavior in Fe-doped tetrahedrite at low temperature. Materials Today Physics, 7, 1–6. https://doi.org/10.1016/j.mtphys.2018.10.004"
Weller 2018,Cu10.7Fe1.3,Fe,10.7,0.25,0.29,400.0,673.0,235.0,230.0,0.29,0.29,0.39,0.36,,steel jar. 300rpm 48h,SPS 573 K (10min) 40MPa,SPS,573.0,,93.0,,,,negative Seebeck from 80K to 310K,"Weller, D. P., Kunkel, G. E., Ochs, A. M., Morelli, D. T., & Anderson, M. E. (2018). Observation of n-type behavior in Fe-doped tetrahedrite at low temperature. Materials Today Physics, 7, 1–6. https://doi.org/10.1016/j.mtphys.2018.10.005"
Pi 2020,Cu11FeSb4S13,Fe,11.0,0.1,0.2,450.0,723.0,190.0,208.0,0.24,0.3767,0.55,0.59,,MA 350rpm 24h,HP 723K 2h 70MPa,HP,723.0,,98.0,,,,,"Pi, J. H., Lee, G. E., & Kim, I. H. (2020). Thermal Stability, Mechanical Properties and Thermoelectric Performance of Cu11TrSb4S13 (Tr = Mn, Fe, Co, Ni, Cu, and Zn). Journal of Electronic Materials, 49(5), 2710–2718. https://doi.org/10.1007/s11664-019-07570-3"
Lopez 2021,Cu10.5Fe1.5,Fe,10.5,0.06,0.06,350.0,,271.0,271.0,0.04,0.04,0.37,0.37,,MA YPSZ jar 350rpm 6h,HP 350C (1h) 5ton/cm^2,HP,623.0,,87.2210953346856,4.3,4.93,,,"López Cota, F. A., Díaz-Guillén, J. A., Juan Dura, O., López de la Torre, M. A., Rodríguez-Hernández, J., & Fernández Fuentes, A. (2021). Mechanosynthesis and thermoelectric properties of fe, zn, and cd-doped p-type tetrahedrite: Cu12-x mx sb4 s13. Materials, 14(13). https://doi.org/10.3390/ma14133448"
Lopez 2022,Cu10Fe2,Fe,10.0,0.02,0.02,350.0,,196.0,196.0,0.04,0.04,0.43,0.43,,MA YPSZ jar 350rpm 6h,HP 350C (1h) 5ton/cm^3,HP,623.0,,85.19269776876268,4.2,4.93,,,"López Cota, F. A., Díaz-Guillén, J. A., Juan Dura, O., López de la Torre, M. A., Rodríguez-Hernández, J., & Fernández Fuentes, A. (2021). Mechanosynthesis and thermoelectric properties of fe, zn, and cd-doped p-type tetrahedrite: Cu12-x mx sb4 s13. Materials, 14(13). https://doi.org/10.3390/ma14133449"
Suekuni 2012,Cu10 Fe2,Fe,10.0,,0.01,67.0,340.0,,,,,,,,quartz tube.  973 K (3h). 823 K (30h),CP + quartz tube annealing  at 773 K (25h),CP?,773.0,500.0,,,,,,Suekuni. K.. Tsuruta. K.. Ariga. T.. & Koyano. M. (2012). Thermoelectric properties of mineral tetrahedrites Cu 10Tr 2Sb 4S 13 with low thermal conductivity. Applied Physics Express. 5(5). https://doi.org/10.1143/APEX.5.051201
Chetty 2015,Cu11 Co1,Co,11.0,0.71,0.79,400.0,673.0,187.0,195.0,3.27,3.22,1.03,1.08,,quartz tube.  973 K (3h). 823 K (30h),CP + quartz tube annealing  at 773 K (30h) + HP 823K 30MPa 2h,HP,823.0,,95.0,,,,,Chetty. R.. Bali. A.. Naik. M. H.. Rogl. G.. Rogl. P.. Jain. M.. Suwas. S.. & Mallik. R. C. (2015). Thermoelectric properties of Co substituted synthetic tetrahedrite. Acta Materialia. 100. 266–274. https://doi.org/10.1016/j.actamat.2015.08.040
Chetty 2015,Cu10 Co2,Co,10.0,0.25,0.24,400.0,673.0,288.0,305.0,0.27,0.27,0.62,0.68,,quartz tube.  973 K (3h). 823 K (30h),CP + quartz tube annealing  at 773 K (30h) + HP 823K 30MPa 2h,HP,823.0,,95.0,,,,,Chetty. R.. Bali. A.. Naik. M. H.. Rogl. G.. Rogl. P.. Jain. M.. Suwas. S.. & Mallik. R. C. (2015). Thermoelectric properties of Co substituted synthetic tetrahedrite. Acta Materialia. 100. 266–274. https://doi.org/10.1016/j.actamat.2015.08.040
Chetty 2015,Cu10.5 Co1.5,Co,10.5,0.72,0.88,400.0,673.0,230.0,245.0,1.71,1.53,0.72,0.55,,quartz tube.  973 K (3h). 823 K (30h),CP + quartz tube annealing  at 773 K (30h) + HP 823K 30MPa 2h,HP,823.0,,95.0,,,,,Chetty. R.. Bali. A.. Naik. M. H.. Rogl. G.. Rogl. P.. Jain. M.. Suwas. S.. & Mallik. R. C. (2015). Thermoelectric properties of Co substituted synthetic tetrahedrite. Acta Materialia. 100. 266–274. https://doi.org/10.1016/j.actamat.2015.08.040
Chetty 2015,Cu11.5 Co0.5,Co,11.5,0.8,0.98,400.0,673.0,158.0,166.0,6.25,5.88,1.25,1.21,,quartz tube.  973 K (3h). 823 K (30h),CP + quartz tube annealing  at 773 K (30h) + HP 823K 30MPa 2h,HP,823.0,,95.0,,,,,Chetty. R.. Bali. A.. Naik. M. H.. Rogl. G.. Rogl. P.. Jain. M.. Suwas. S.. & Mallik. R. C. (2015). Thermoelectric properties of Co substituted synthetic tetrahedrite. Acta Materialia. 100. 266–274. https://doi.org/10.1016/j.actamat.2015.08.040
Tippireddy 2018,Cu11.5Co0.5,Co,11.5,0.79,0.98,400.0,673.0,157.24,168.0,6.0,6.25,1.24,1.21,,quartz ampule. 973K 3h,Annealing: 773K 30h + HP 30MPa at 823K 2h,HP,823.0,,98.0,,,,,Tippireddy. S.. Chetty. R.. Naik. M. H.. Jain. M.. Chattopadhyay. K.. & Mallik. R. C. (2018). Electronic and Thermoelectric Properties of Transition Metal Substituted Tetrahedrites. Journal of Physical Chemistry C. 122(16). 8735–8749. https://doi.org/10.1021/acs.jpcc.7b12214
Suekuni 2012,Cu10 Co2,Co,10.0,,0.03,67.0,340.0,,,,,,,,quartz tube.  973 K (3h). 823 K (30h),CP + quartz tube annealing  at 773 K (25h),CP,773.0,,,,,,,Suekuni. K.. Tsuruta. K.. Ariga. T.. & Koyano. M. (2012). Thermoelectric properties of mineral tetrahedrites Cu 10Tr 2Sb 4S 13 with low thermal conductivity. Applied Physics Express. 5(5). https://doi.org/10.1143/APEX.5.051201
Bouyrie 2016,Cu10.3Co1.7,Co,10.3,0.56,0.6,420.0,673.0,219.0,230.0,0.94,0.91,0.53,0.52,,quartz tube. 1173K (several hours). 923K (12h),CP + quartz tube annealing  at 673K (1 week) + SPS at 723K. 80MPa. 12min,SPS,723.0,,92.0,,,,,Bouyrie. Y.. Sassi. S.. Candolfi. C.. Vaney. J. B.. Dauscher. A.. & Lenoir. B. (2016). Thermoelectric properties of double-substituted tetrahedrites Cu12-xCoxSb4- yTeyS13. Dalton Transactions. 45(17). 7294–7302. https://doi.org/10.1039/c6dt00564k
Bouyrie 2016,Cu10.49Co1.51,Co,10.49,0.59,0.64,420.0,673.0,199.29,205.0,1.51,1.46,0.6,0.59,,quartz tube. 1173K (several hours). 923K (12h),CP + quartz tube annealing  at 673K (1 week) + SPS at 723K. 80MPa. 12min,SPS,723.0,,92.0,,,,,Bouyrie. Y.. Sassi. S.. Candolfi. C.. Vaney. J. B.. Dauscher. A.. & Lenoir. B. (2016). Thermoelectric properties of double-substituted tetrahedrites Cu12-xCoxSb4- yTeyS13. Dalton Transactions. 45(17). 7294–7302. https://doi.org/10.1039/c6dt00564k
Bouyrie 2016,Cu10.7Co1.3,Co,10.7,0.64,0.72,420.0,673.0,171.71,183.0,2.12,2.0,0.68,0.68,,quartz tube. 1173K (several hours). 923K (12h),CP + quartz tube annealing  at 673K (1 week) + SPS at 723K. 80MPa. 12min,SPS,723.0,,92.0,,,,,Bouyrie. Y.. Sassi. S.. Candolfi. C.. Vaney. J. B.. Dauscher. A.. & Lenoir. B. (2016). Thermoelectric properties of double-substituted tetrahedrites Cu12-xCoxSb4- yTeyS13. Dalton Transactions. 45(17). 7294–7302. https://doi.org/10.1039/c6dt00564k
Bouyrie 2016,Cu11.1Co0.9,Co,11.1,0.65,0.75,400.0,673.0,157.0,163.0,3.0,3.1,0.76,0.76,,quartz tube. 1173K (several hours). 923K (12h),CP + quartz tube annealing  at 673K (1 week) + SPS at 723K. 80MPa. 12min,SPS,723.0,,92.0,,,,,Bouyrie. Y.. Sassi. S.. Candolfi. C.. Vaney. J. B.. Dauscher. A.. & Lenoir. B. (2016). Thermoelectric properties of double-substituted tetrahedrites Cu12-xCoxSb4- yTeyS13. Dalton Transactions. 45(17). 7294–7302. https://doi.org/10.1039/c6dt00564k
Heo 2014,Cu10 Co2,Co,10.0,,0.48,302.0,575.0,,,,,,0.2,,quartz tube.  723 K (3weeks). BM(5min),HP 723 K (2h) 10 Mpa (density is 85%),HP,723.0,,85.0,,,,,Heo. J.. Laurita. G.. Muir. S.. Subramanian. M. A.. & Keszler. D. A. (2014). Enhanced thermoelectric performance of synthetic tetrahedrites. Chemistry of Materials. 26(6). 2047–2051. https://doi.org/10.1021/cm404026k
Kim 2019 Co,Cu11.8Co0.2Sb4S13,Co,11.8,0.73,0.94,450.0,,171.52,179.41,3.1,3.0,0.76,0.72,,steel jar. 350rpm 24h.,HP 723 K (2h) 70 Mpa,HP,723.0,,99.0,,,,,"Kim, S. Y., Lee, G. E., & Kim, I. H. (2019). Thermoelectric Properties of Mechanically-Alloyed and Hot-Pressed Cu 12−x Co x Sb 4 S 13 Tetrahedrites. Journal of the Korean Physical Society, 74(10), 967–971. https://doi.org/10.3938/jkps.74.967"
Kim 2019 Co,Cu11CoSb4S13,Co,11.0,0.51,0.63,450.0,,251.76,255.01,0.8,0.9,0.58,0.6,,steel jar. 350rpm 24h.,HP 723 K (2h) 70 Mpa,HP,724.0,,98.0,,,,,"Kim, S. Y., Lee, G. E., & Kim, I. H. (2019). Thermoelectric Properties of Mechanically-Alloyed and Hot-Pressed Cu 12−x Co x Sb 4 S 13 Tetrahedrites. Journal of the Korean Physical Society, 74(10), 967–971. https://doi.org/10.3938/jkps.74.967"
Kim 2019 Co,Cu11.4Co0.6Sb4S13,Co,11.4,0.61,0.79,450.0,,198.89,204.45,1.9,2.0,0.74,0.74,,steel jar. 350rpm 24h.,HP 723 K (2h) 70 Mpa,HP,725.0,,98.0,,,,,"Kim, S. Y., Lee, G. E., & Kim, I. H. (2019). Thermoelectric Properties of Mechanically-Alloyed and Hot-Pressed Cu 12−x Co x Sb 4 S 13 Tetrahedrites. Journal of the Korean Physical Society, 74(10), 967–971. https://doi.org/10.3938/jkps.74.967"
Kim 2019 Co,Cu11.6Co0.4Sb4S13,Co,11.6,0.59,0.79,450.0,,191.0,197.5,2.1,2.2,0.8,0.78,,steel jar. 350rpm 24h.,HP 723 K (2h) 70 Mpa,HP,726.0,,98.0,,,,,"Kim, S. Y., Lee, G. E., & Kim, I. H. (2019). Thermoelectric Properties of Mechanically-Alloyed and Hot-Pressed Cu 12−x Co x Sb 4 S 13 Tetrahedrites. Journal of the Korean Physical Society, 74(10), 967–971. https://doi.org/10.3938/jkps.74.967"
Kim 2019 Co,Cu11.2Co0.8Sb4S13,Co,11.2,0.5,0.63,450.0,,234.14,236.92,0.9,1.0,0.62,0.63,,steel jar. 350rpm 24h.,HP 723 K (2h) 70 Mpa,HP,727.0,,97.0,,,,,"Kim, S. Y., Lee, G. E., & Kim, I. H. (2019). Thermoelectric Properties of Mechanically-Alloyed and Hot-Pressed Cu 12−x Co x Sb 4 S 13 Tetrahedrites. Journal of the Korean Physical Society, 74(10), 967–971. https://doi.org/10.3938/jkps.74.967"
Pi 2020,Cu11CoSb4S13,Co,11.0,0.34,0.48,450.0,723.0,290.0,280.0,0.35,0.5084,0.55,0.59,,MA 350rpm 24h,HP 723K 2h 70MPa,HP,723.0,,98.0,,,,,"Pi, J. H., Lee, G. E., & Kim, I. H. (2020). Thermal Stability, Mechanical Properties and Thermoelectric Performance of Cu11TrSb4S13 (Tr = Mn, Fe, Co, Ni, Cu, and Zn). Journal of Electronic Materials, 49(5), 2710–2718. https://doi.org/10.1007/s11664-019-07570-3"
Bouyrie 2016,Cu12.18Co0.25Sb3.68Te0.62S13,Co+Te,12.18,0.55,0.61,400.0,673.0,145.0,160.0,5.2,5.5,0.93,0.93,,quartz tube. 1173K (several hours). 923K (12h),CP + quartz tube annealing  at 673K (1 week) + SPS at 723K. 80MPa. 12min,SPS,723.0,,92.0,,,,,Bouyrie. Y.. Sassi. S.. Candolfi. C.. Vaney. J. B.. Dauscher. A.. & Lenoir. B. (2016). Thermoelectric properties of double-substituted tetrahedrites Cu12-xCoxSb4- yTeyS13. Dalton Transactions. 45(17). 7294–7302. https://doi.org/10.1039/c6dt00564k
Bouyrie 2016,Cu11.67Co0.47Sb3.36Te0.77S13,Co+Te,11.67,0.57,0.65,420.0,693.0,170.0,180.0,3.1,3.57,0.77,0.77,,quartz tube. 1173K (several hours). 923K (12h),CP + quartz tube annealing  at 673K (1 week) + SPS at 723K. 80MPa. 12min,SPS,723.0,,92.0,,,,,Bouyrie. Y.. Sassi. S.. Candolfi. C.. Vaney. J. B.. Dauscher. A.. & Lenoir. B. (2016). Thermoelectric properties of double-substituted tetrahedrites Cu12-xCoxSb4- yTeyS13. Dalton Transactions. 45(17). 7294–7302. https://doi.org/10.1039/c6dt00564k
Bouyrie 2016,Cu11.88Co0.32Sb3.11Te1.05S13,Co+Te,11.88,0.58,0.69,420.0,693.0,180.0,190.0,2.55,2.63,0.76,0.76,,quartz tube. 1173K (several hours). 923K (12h),CP + quartz tube annealing  at 673K (1 week) + SPS at 723K. 80MPa. 12min,SPS,723.0,,92.0,,,,,Bouyrie. Y.. Sassi. S.. Candolfi. C.. Vaney. J. B.. Dauscher. A.. & Lenoir. B. (2016). Thermoelectric properties of double-substituted tetrahedrites Cu12-xCoxSb4- yTeyS13. Dalton Transactions. 45(17). 7294–7302. https://doi.org/10.1039/c6dt00564k
Bouyrie 2016,Cu11.47Co0.82Sb3.78Te0.41S13,Co+Te,11.47,0.69,0.81,420.0,693.0,175.0,180.0,6.1,6.5,0.81,0.81,,quartz tube. 1173K (several hours). 923K (12h),CP + quartz tube annealing  at 673K (1 week) + SPS at 723K. 80MPa. 12min,SPS,723.0,,92.0,,,,,Bouyrie. Y.. Sassi. S.. Candolfi. C.. Vaney. J. B.. Dauscher. A.. & Lenoir. B. (2016). Thermoelectric properties of double-substituted tetrahedrites Cu12-xCoxSb4- yTeyS13. Dalton Transactions. 45(17). 7294–7302. https://doi.org/10.1039/c6dt00564k
Heo 2014,Cu11.5 Mn0.5,Mn,11.5,,1.09,302.0,575.0,,117.0,,5.05,,0.37,,quartz tube.  723 K (3weeks). BM(5min),HP 723 K (2h) 10 Mpa (density is 85%),HP,723.0,,85.0,,,,,Heo. J.. Laurita. G.. Muir. S.. Subramanian. M. A.. & Keszler. D. A. (2014). Enhanced thermoelectric performance of synthetic tetrahedrites. Chemistry of Materials. 26(6). 2047–2051. https://doi.org/10.1021/cm404026k
Heo 2014,Cu10.5 Mn1.5,Mn,10.5,,0.8,302.0,575.0,,187.0,,0.85,,0.21,,quartz tube.  723 K (3weeks). BM(5min),HP 723 K (2h) 10 Mpa (density is 85%),HP,723.0,,85.0,,,,,Heo. J.. Laurita. G.. Muir. S.. Subramanian. M. A.. & Keszler. D. A. (2014). Enhanced thermoelectric performance of synthetic tetrahedrites. Chemistry of Materials. 26(6). 2047–2051. https://doi.org/10.1021/cm404026k
Heo 2014,Cu10 Mn2,Mn,10.0,,0.8,302.0,575.0,,247.0,,0.37,,0.17,,quartz tube.  723 K (3weeks). BM(5min),HP 723 K (2h) 10 Mpa (density is 85%),HP,723.0,,88.0,,,,,Heo. J.. Laurita. G.. Muir. S.. Subramanian. M. A.. & Keszler. D. A. (2014). Enhanced thermoelectric performance of synthetic tetrahedrites. Chemistry of Materials. 26(6). 2047–2051. https://doi.org/10.1021/cm404026k
Heo 2014,Cu11 Mn,Mn,11.0,,1.13,302.0,575.0,,141.0,,2.7,,0.27,,quartz tube.  723 K (3weeks). BM(5min),HP 723 K (2h) 10 Mpa (density is 85%),HP,723.0,,85.0,,,,,Heo. J.. Laurita. G.. Muir. S.. Subramanian. M. A.. & Keszler. D. A. (2014). Enhanced thermoelectric performance of synthetic tetrahedrites. Chemistry of Materials. 26(6). 2047–2051. https://doi.org/10.1021/cm404026k
Tippireddy 2018,Cu11.5Mn0.5,Mn,11.5,0.56,0.64,400.0,673.0,139.2,,5.0,,1.24,,,quartz ampoule. 973K 3h,Annealing: 773K 30h + HP 30MPa at 823K 2h,HP,823.0,,95.0,,,,,Tippireddy. S.. Chetty. R.. Naik. M. H.. Jain. M.. Chattopadhyay. K.. & Mallik. R. C. (2018). Electronic and Thermoelectric Properties of Transition Metal Substituted Tetrahedrites. Journal of Physical Chemistry C. 122(16). 8735–8749. https://doi.org/10.1021/acs.jpcc.7b12214
Wang 2016,Cu11Mn,Mn,11.0,0.59,0.79,427.0,700.0,215.0,225.0,1.1,1.1,0.54,0.51,,silica ampoules. 923K. 12h,CP + silica ampoules HP 723K 70MPa 30min,HP,723.0,,,,,,,Wang. J. Y.. Li. X. Y.. & Bao. Y. F. (2016). Thermoelectric properties of Mn dopbed Cu12-xMnxSb4S13 tetrahedrites. Materials Science Forum. 847. 161–165. https://doi.org/10.4028/www.scientific.net/MSF.847.161
Wang 2016,Cu11.5Mn0.5,Mn,11.5,0.75,0.9,427.0,700.0,142.0,150.0,4.5,4.1,0.76,0.73,,silica ampoules. 923K. 12h,CP + silica ampoules HP 723K 70MPa 30min,HP,723.0,,,,,,,Wang. J. Y.. Li. X. Y.. & Bao. Y. F. (2016). Thermoelectric properties of Mn dopbed Cu12-xMnxSb4S13 tetrahedrites. Materials Science Forum. 847. 161–165. https://doi.org/10.4028/www.scientific.net/MSF.847.161
Wang 2016,Cu10Mn2,Mn,10.0,0.35,0.41,427.0,700.0,332.0,320.0,0.2,0.2,0.32,0.31,,silica ampoules. 923K. 12h,CP + silica ampoules HP 723K 70MPa 30min,HP,723.0,,,,,,,Wang. J. Y.. Li. X. Y.. & Bao. Y. F. (2016). Thermoelectric properties of Mn dopbed Cu12-xMnxSb4S13 tetrahedrites. Materials Science Forum. 847. 161–165. https://doi.org/10.4028/www.scientific.net/MSF.847.161
Suekuni 2012,Cu10 Mn2,Mn,10.0,,0.07,67.0,340.0,,,,,,,,quartz tube.  973 K (3h). 823 K (30h),CP + quartz tube annealing  at 773 K (25h),CP,773.0,,,,,,,Suekuni. K.. Tsuruta. K.. Ariga. T.. & Koyano. M. (2012). Thermoelectric properties of mineral tetrahedrites Cu 10Tr 2Sb 4S 13 with low thermal conductivity. Applied Physics Express. 5(5). https://doi.org/10.1143/APEX.5.051201
Coelho 2020,Cu11Mn,Mn,11.0,0.61,0.64,377.0,650.0,175.0,179.0,2.2,2.14,0.68,0.71,,quartz tube 10E-3MPa. 1191K. 1h,CP (~512MPa) + Annealing 5 days. 723K + HP 60MPa 90min at  848K,HP,848.0,,96.0,4.7,4.91,,,Coelho. R.. Symeou. E.. Kyratsi. T.. & Pereira Gonçalves. A. (2020). Tetrahedrite Sintering Conditions: The Cu11Mn1Sb4S13 Case. Journal of Electronic Materials. 49(8). 5077–5083. https://doi.org/10.1007/s11664-020-08250-3
Coelho 2020,Cu11Mn,Mn,11.0,0.48,0.54,377.0,650.0,170.0,175.0,1.8,1.71,0.65,0.64,,quartz tube 10E-3MPa. 1191K. 1h,CP (~512MPa) + Annealing 5 days. 723K + HP 60MPa 90min at 788K,HP,788.0,,94.0,4.6,4.94,,,Coelho. R.. Symeou. E.. Kyratsi. T.. & Pereira Gonçalves. A. (2020). Tetrahedrite Sintering Conditions: The Cu11Mn1Sb4S13 Case. Journal of Electronic Materials. 49(8). 5077–5083. https://doi.org/10.1007/s11664-020-08250-3
Chetty 2015 mn,Cu10.6Mn1.4,Mn,10.6,0.34,0.41,450.0,723.0,230.0,260.0,0.77,0.72,0.78,0.88,,quartz ampoule. 973K 3h,Annealing: 773K 30h + HP 30MPa at 823K 2h,HP,823.0,,95.0,,,,,Chetty. R.. Prem Kumar. D. S.. Rogl. G.. Rogl. P.. Bauer. E.. Michor. H.. Suwas. S.. Puchegger. S.. Giester. G.. & Mallik. R. C. (2015). Thermoelectric properties of a Mn substituted synthetic tetrahedrite. Physical Chemistry Chemical Physics. 17(3). 1716–1727. https://doi.org/10.1039/c4cp04039b
Chetty 2015 mn,Cu10.2Mn1.8,Mn,10.2,0.18,0.21,450.0,723.0,330.0,399.0,0.15,0.11,0.62,0.62,,quartz ampoule. 973K 3h,Annealing: 773K 30h + HP 30MPa at 823K 2h,HP,823.0,,98.0,,,,,Chetty. R.. Prem Kumar. D. S.. Rogl. G.. Rogl. P.. Bauer. E.. Michor. H.. Suwas. S.. Puchegger. S.. Giester. G.. & Mallik. R. C. (2015). Thermoelectric properties of a Mn substituted synthetic tetrahedrite. Physical Chemistry Chemical Physics. 17(3). 1716–1727. https://doi.org/10.1039/c4cp04039b
