material,number_of_elements,critical_temp
Y1Ba1.99Cu2.847Ag0.153O6.7,5,86.0
Y1Ba2Cu2.902Pt0.098O6.4,5,81.0
Y1Ba2.01Cu2.7Co0.3O6.8,5,36.0
Y1.01Ba2.01Cu2.906Ni0.094O6.7,5,71.0
Y1Ba2Cu2.697Mn0.303O6.9,5,63.0
Y1Ba2Cu2.844Fe0.156O7,5,57.0
Y1.01Ba2.01Cu2.697Fe0.303O,5,36.0
Y1Ba2Cu3O6.9,4,88.0
Y0.99Ba1.99Cu2.847Li0.153O6.4,5,62.0
Y1.01Ba2.03Cu2.808Li0.192O6.6,5,33.0
Y1Ba2Cu2.85Fe0.15O7,5,50.0
Y1Ba2Cu2.85Fe0.15O7,5,57.0
Y1Ba2Cu2.7Fe0.3O7,5,4.0
Y1Ba2Cu3O7,4,91.0
Y1Ba2Cu2.955Fe0.045O7,5,74.0
Y1Ba2Cu2.955Fe0.045O7,5,59.0
Y1Ba2Cu2.895Fe0.105O7,5,61.0
Y1Ba2Cu3F0.825O,5,90.5
Y1Ba2Cu3F1.65O5.675,5,90.3
Y1Ba2Cu3F0.066O,5,93.4
Y1Ba2Cu3F0.066O,5,92.2
Y1Ba2Cu3F0.165O,5,91.6
Y1Ba2Cu3F0.016O,5,90.8
Y1Ba2Cu3F0.033O,5,92.1
Y1Ba2Cu3F0.05O,5,92.5
Y1Ba2Cu3O,4,86.0
Gd1Ba2Cu3O,4,87.0
Er1Ba2Cu3O,4,90.0
Dy1Ba2Cu3O,4,92.0
Ho1Ba2Cu3O,4,90.0
Y1Ba2Cu3O,4,92.0
La1.85Sr0.15Cu1O4,4,34.0
La1.85Sr0.15Cu0.995Ni0.005O4,5,30.5
La1.85Sr0.15Cu0.99Ni0.01O4,5,30.5
La1.85Sr0.15Cu0.98Ni0.02O4,5,23.0
La1.85Sr0.15Cu0.97Ni0.03O,5,24.0
Tl2Ca2Ba1Cu3O,5,110.0
Tl2Ca2Ba2Cu3O,5,110.0
Y1Ba2Cu3O,4,93.5
Y1Ba2Cu2.85Ti0.15O,5,94.0
Y1Ba2Cu2.7Ti0.3O,5,92.5
Y1Ba2Cu2.55Ti0.45O,5,92.5
Y1Ba2Cu2.4Ti0.6O,5,93.5
Y1Ba2Cu2.25Ti0.75O,5,88.0
Y1Ba2Cu2.1Ti0.9O,5,83.5
Bi1Sr1Ca1Cu2O,5,110.0
Bi2Sr1.8Ca1.2Cu2O,5,75.0
Bi2Sr3Ca4Cu8O,5,104.0
Bi1Sr1Ca1Cu2O,5,106.0
La1.85Sr0.15Cu0.925Zn0.025O4,5,15.0
Y1Ba2Cu3O7,4,91.5
Y1Ba2Cu2.841Co0.159O6.8,5,54.0
Y1Ba2.01Cu2.806Cr0.194O7.3,5,62.0
Y1Ba2Cu3O6.74,4,91.0
Y1Ba2Cu2.98Fe0.02O6.93,5,91.8
Y1Ba2Cu2.95Fe0.05O6.92,5,91.8
Y1Ba2Cu2.9Fe0.1O6.92,5,76.0
Y1Ba2Cu2.8Fe0.2O6.93,5,49.0
Y1Ba2Cu2.6Fe0.4O7,5,31.0
Y1Ba2Cu2.95Al0.05O6.93,5,91.0
Y1Ba2Cu2.9Al0.1O6.93,5,92.0
Y1Ba2Cu2.8Al0.2O6.91,5,85.0
Y1Ba2Cu2.7Al0.3O6.99,5,73.0
Y1Ba2Cu2.6Al0.4O7,5,42.0
Y1Ba2Cu2.9Ni0.1O6.87,5,55.0
Y1Ba2Cu2.8Ni0.2O6.82,5,45.0
Y1Ba2Cu2.98Co0.02O6.9,5,93.4
Y1Ba2Cu2.95Co0.05O6.92,5,94.3
Y1Ba2Cu2.9Co0.1O6.82,5,73.0
Y1Ba2Cu2.8Co0.2O6.83,5,53.0
Y1Ba2Cu2.7Co0.3O6.88,5,22.0
Y1Ba2Cu2.7Ni0.3O6.97,5,40.0
Y1Ba2Cu2.9Zn0.1O6.81,5,55.0
Y1Ba2Cu2.8Zn0.2O6.79,5,45.0
Y1Ba2Cu2.7Zn0.3O6.74,5,45.0
Y1Ba2Cu3O6.85,4,92.0
Gd1Ba2Cu3O,4,96.4
Gd1Ba1.8Sr0.2Cu3O,5,94.7
Gd1Ba1.6Sr0.4Cu3O,5,92.4
Gd1Ba1.4Sr0.6Cu3O,5,89.4
Gd1Ba1.2Sr0.8Cu3O,5,90.7
Gd1Ba1Sr1Cu3O,5,88.6
La2.89Na0.11Cu1O4,4,16.0
La2.89Na0.41Cu1O4,4,18.0
Bi1Ca1Sr1Cu2O,5,75.0
Bi1Ca1Sr1Cu2O,5,70.0
Y1Ba2Cu3O7,4,91.3
Ho1Ba2Cu3O7,4,92.1
Sm1Ba2Cu3O7,4,92.6
Y1Ba2Cu3O7,4,88.1
Eu1Ba2Cu3O,4,94.0
Y1Ba2Cu3O6.8,4,79.0
Nd1Ba2Cu3O,4,82.5
Bi1Sr1Ca1Cu2O,5,105.0
La1.8Sr0.2Cu1O4,4,35.7
Y1.2Ba0.8Cu1O4,4,75.0
Gd1Ba2Cu2.82Fe0.18O9,5,42.0
Y1.2Ba0.8Cu1O4,4,94.5
Er1Ba2Cu3O7,4,90.0
Er0.75Yb0.25Ba2Cu3O7,5,87.6
Er0.62Yb0.38Ba2Cu3O7,5,88.3
Er0.5Yb0.5Ba2Cu3O7,5,89.3
Er0.37Yb0.63Ba2Cu3O7,5,87.8
Er0.25Yb0.75Ba2Cu3O7,5,86.3
Yb1Ba2Cu3O7,4,88.5
Y1Ba2Cu2.9Fe0.1O,5,90.0
Y1Ba2Cu2.8Fe0.2O,5,66.0
Y1Ba2Cu2.7Fe0.3O,5,44.0
Y1Ba2Cu2.6Fe0.4O,5,22.0
Y1Ba2Cu2.9Ni0.1O,5,80.0
Y1Ba2Cu2.8Ni0.2O,5,73.0
Y1Ba2Cu2.9Co0.1O,5,88.0
Y1Ba2Cu2.7Co0.3O,5,50.0
Y1Ba2Cu2.6Co0.4O,5,15.0
Y1Ba2Cu2.9Zn0.1O,5,58.0
Y1Ba2Cu2.8Zn0.2O,5,50.0
Dy1Ba2Cu3O,4,91.2
Y1Ba2Cu3O,4,90.8
Y1Ba2Cu3O,4,91.5
La1.85Sr0.15Cu1O4,4,40.0
Y1Ba2Cu2.94Ga0.06O7,5,87.0
Y1Ba2Cu2.85Ga0.15O7,5,75.0
Y1Ba2Cu2.7Ga0.3O7,5,66.0
Y1Ba2Cu3O6.98,4,92.0
Y1Ba2Cu2.88Fe0.12O7,5,70.0
Gd1Ba2Cu3O7,4,94.7
Eu1Ba2Cu3O7,4,94.5
Nd1Ba2Cu3O,4,90.0
Nd1.2Ba1.8Cu3O,4,60.0
Nd1.08Ba1.92Cu3O,4,86.0
Nd1.32Ba1.68Cu3O,4,20.0
Y1Ba2Cu2.97Mo0.03O,5,76.0
Y1Ba2Cu2.94Mo0.06O,5,63.0
Y1Ba2Cu2.895Mo0.105O,5,52.5
Y1Ba2Cu2.85Mo0.15O,5,50.0
Y1Ba2Cu2.97Zn0.03O,5,79.0
Y1Ba2Cu2.94Zn0.06O,5,62.0
Y1Ba2Cu2.895Zn0.105O,5,52.0
Y1Ba2Cu2.85Zn0.15O,5,38.0
Y1Ba2Cu2.97Al0.03O,5,81.0
Y1Ba2Cu2.94Al0.06O,5,58.0
Y1Ba2Cu2.885Al0.105O,5,42.0
Y1Ba2Cu2.85Al0.15O,5,33.0
Y1Ba1.95La0.05Cu3O,5,91.0
Y1Ba1.85La0.15Cu3O,5,88.0
Y1Ba1.75La0.25Cu3O,5,76.0
Y1Ba1.65La0.35Cu3O,5,64.0
Y1Ba2Cu3O7,4,92.5
Nd1Ba2Cu3O7,4,67.0
Sm1Ba2Cu3O7,4,76.0
Eu1Ba2Cu3O7,4,92.0
Gd1Ba2Cu3O7,4,86.0
Dy1Ba2Cu3O7,4,92.0
Ho1Ba2Cu3O7,4,91.0
Er1Ba2Cu3O7,4,91.0
Tm1Ba2Cu3O7,4,92.0
Yb1Ba2Cu3O7,4,91.0
Y1Ba2Cu3HO7,5,90.0
Y1Ba2Cu3HO7,5,43.05
Gd1Ba2Cu3O7,4,93.0
Dy1Ba2Cu3O7,4,94.0
Sm1Ba2Cu3O7,4,92.0
Ho1Ba2Cu3O7,4,93.5
Y1Ba2Cu3O7,4,93.5
Nd1Ba2Cu3O7,4,88.0
Nd1Ba2Cu3S1O6,5,69.0
Nd1Ba2Cu3S1O5,5,56.0
Eu1Ba2Cu3S1O6,5,85.0
Gd1Ba2Cu3O7,4,92.0
Gd1Ba2Cu3S1O6,5,92.0
Y1Ba2Cu3O6.89,4,92.0
Y1Ba2Cu3S0.03O7.12,5,90.0
Y1Ba2Cu3S0.06O7.23,5,89.0
Y1Ba2Cu3S0.12O7.28,5,89.0
Y1Ba2Cu3O,4,91.9
Y1Ba2Cu2.975Zn0.025O,5,82.8
Y1Ba2Cu2.95Zn0.05O,5,74.7
Y1Ba2Cu2.925Zn0.075O,5,64.9
Y1Ba2Cu2.9Zn0.1O,5,57.6
Y1Ba2Cu2.85Zn0.15O,5,56.0
Y1Ba2Cu2.8Zn0.2O,5,56.5
Y1Ba2Cu2.7Zn0.3O,5,47.6
Gd1Ba2Cu3O6.9,4,92.0
Gd1Ba2Cu2.7Fe0.3O6.9,5,41.0
Gd1Ba2Cu2.7Co0.3O6.9,5,33.0
Y1Ba2Cu3O6.9,4,91.0
Bi2.2Sr2Ca0.8Cu2O8,5,87.0
Y1Ba2Cu2.5Ni0.5O7,5,52.3
La2.8Ba3.2Cu6O14.07,4,13.0
La2.6Ba3.4Cu6O14.06,4,26.0
La2.4Ba3.6Cu6O14.01,4,39.0
La2.2Ba3.8Cu6O13.86,4,52.0
La2Ba4Cu6O13.8,4,65.0
Y1La2Ba3Cu6O14.53,5,25.6
Y1La1.8Ba3.2Cu6O14.49,5,41.9
Y1La1.6Ba3.4Cu6O14.38,5,53.1
Y1La1.4Ba3.6Cu6O14.2,5,64.0
Y1La1.2Ba3.8Cu6O14.07,5,70.4
Y1La1Ba4Cu6O13.95,5,72.2
Y2La1Ba3Cu6O14.17,5,28.0
Y2La0.8Ba3.2Cu6O14.2,5,46.0
Y2La0.6Ba3.4Cu6O14.02,5,60.0
Y2La0.4Ba3.6Cu6O13.91,5,78.0
Y2La0.2Ba3.8Cu6O13.92,5,93.0
Y2La0.15Ba3.85Cu6O13.99,5,93.2
Y2La0.1Ba3.9Cu6O13.94,5,90.0
Y2Ba4Cu6O13.9,4,93.0
Y1Ba2Cu3O6.94,4,97.0
Y1Ba1.975La0.025Cu3O6.95,5,99.0
Y1Ba1.95La0.05Cu3O6.9,5,99.0
Y1Ba1.925La0.075Cu3O6.9,5,99.0
Y1Ba1.9La0.1Cu3O6.9,5,95.0
Y1Ba1.8La0.2Cu3O6.95,5,78.0
Y1Ba1.7La0.3Cu3O7,5,67.0
Y1Ba1.6La0.4Cu3O7.05,5,52.0
Y1Ba1.5La0.5Cu3O7.08,5,38.0
Gd1Ba2Cu3O,4,89.0
Gd1Ba2Cu2.925Fe0.075O,5,64.0
Gd1Ba2Cu2.85Fe0.15O,5,47.0
Gd1Ba2Cu2.775Fe0.225O,5,33.0
Gd1Ba2Cu2.7Fe0.3O,5,11.0
Y1Ba2Cu3O,4,93.0
Y1Ba2Cu3O,4,91.6
La1Ba2Cu3O,4,34.5
La1Ba1.75Ca0.25Cu3O,5,71.7
La1Ba1.25Ca0.75Cu3O,5,78.2
La1Ba1Ca1Cu3O,5,80.0
La1Ba0.5Ca1.5Cu3O,5,36.7
Y1Ba2Cu2.8Co0.2O7.04,5,53.0
Bi2Sr2Ca2Cu3O,5,111.0
Bi2Sr2Ca1Cu2O,5,87.0
Y1Ba2Cu2.97Co0.03O6.96,5,92.0
Y1Ba2Cu2.925Co0.075O6.97,5,92.0
Y1Ba2Cu2.85Co0.15O7.03,5,65.0
Y1Ba2Cu2.775Co0.225O6.99,5,58.0
Y1Ba2Cu2.7Co0.3O7.11,5,36.0
Y1Ba2Cu2.94Ni0.06O7.01,5,85.0
Y1Ba2Cu2.85Ni0.15O6.84,5,75.0
Y1Ba2Cu2.7Ni0.3O6.88,5,73.0
Y1Ba2Cu2.4Ni0.6O6.94,5,66.0
La1.94Sr0.06Cu1O3.995,4,6.5
La1.92Sr0.08Cu1O3.994,4,20.3
La1.89Sr0.11Cu1O3.986,4,29.2
La1.855Sr0.145Cu1O4,4,34.9
La1.85Sr0.15Cu1O4,4,35.2
La1.815Sr0.185Cu1O3.964,4,33.2
La1.78Sr0.22Cu1O3.945,4,34.8
La1.75Sr0.25Cu1O3.921,4,19.6
La1.73Sr0.27Cu1O3.913,4,30.6
La1Ba2Cu2.9O6.8,4,45.0
La1.2Ba1.8Cu3O6.98,4,80.0
Y0.875Lu0.125Ba2Cu3O,5,89.7
Y0.75Lu0.25Ba2Cu3O,5,88.2
Y0.625Lu0.375Ba2Cu3O,5,88.0
Y0.5Lu0.5Ba2Cu3O,5,86.7
Y0.375Lu0.625Ba2Cu3O,5,86.9
Y0.25Lu0.75Ba2Cu3O,5,86.0
Y0.125Lu0.875Ba2Cu3O,5,87.9
La1.9Ba0.1Cu1O4,4,26.9
La1.785Ba0.215Cu1O,4,25.5
La1.9Sr0.1Cu1O3.98,4,29.5
La1.875Sr0.125Cu1O,4,34.3
La1.85Sr0.15Cu1O3.98,4,37.9
La1.825Sr0.175Cu1O,4,35.0
La1.8Sr0.2Cu1O3.99,4,27.5
La1.75Sr0.25Cu1O,4,11.9
La1.9Ca0.1Cu1O3.967,4,20.0
La1.85Ca0.15Cu1O3.942,4,19.0
La1.8Ca0.2Cu1O3.917,4,19.5
Y1Ba2Cu3O6.94,4,92.5
Y1Ba2Cu3O6.89,4,92.1
Y1Ba2Cu3O6.84,4,91.0
Y1Ba2Cu3O6.83,4,89.3
Y1Ba2Cu3O6.75,4,92.3
Y1Ba2Cu3O6.7,4,83.0
Y1Ba2Cu3O6.4,4,33.0
Y1Ba2Cu2.955Fe0.045O6.89,5,72.0
Y1Ba2Cu2.9Fe0.1O6.92,5,48.0
Y1Ba2Cu2.52Al0.48O6.74,5,68.0
Y1Ba2Cu2.05Al0.95O6.7,5,63.0
Y1Ba2Cu2.095Al0.095O6.81,5,83.3
Y1Ba2Cu2.98Zr0.02O6.84,5,90.2
Y1Ba2Cu2.94Zr0.06O6.81,5,92.3
Y1Ba2Cu2.98Zr0.2O6.75,5,89.8
Eu1Ba2Cu3O6.76,4,77.0
Eu1Ba2Cu3O6.88,4,94.0
Y1Ba2Cu2.98Fe0.02O6.93,5,89.0
Y1Ba2Cu2.994Zn0.006O6.63,5,60.0
Sr0.25La1.75Cu1O4,4,33.0
Sm0.4Ba0.6Cu1O,4,18.0
Eu0.1La1.7Sr0.2Cu1O4,5,33.0
Y1Ba2Cu3O7,4,92.3
Y1Ba1.48Sr0.52Cu3O7,5,95.0
Y1Ba1.48Sr0.52Cu3O7,5,85.0
Eu1Ba2Cu3O,4,93.0
Sm1Ba2Cu3O6.85,4,92.8
Sm1.05Ba1.95Cu3O6.87,4,89.75
Sm1.15Ba1.85Cu3O6.95,4,77.3
Sm1.2Ba1.8Cu3O7.01,4,56.5
Sm1.28Ba1.72Cu3O7.03,4,43.6
Sm1.35Ba1.65Cu3O7.07,4,26.2
Nd1.32Ce0.27Sr0.41Cu1O,5,20.0
Y1Ba2Cu3O6.75,4,89.1
Y1Ba2Cu3O6.72,4,62.0
Y1Ba2Cu3O6.62,4,62.0
Er1Ba2Cu3O7,4,88.0
Bi2Ca1Sr2Cu2O8,5,88.5
Ba0.65K0.35Bi1O3,4,23.0
La2Cu1O4.13,3,28.0
La1.9Sr0.1Cu1O4,4,26.0
La1.75Sr0.25Cu1O4,4,30.0
Bi2Sr2Ca1Cu2O,5,85.0
Bi2Sr2Ca2Cu3O,5,108.0
Tl2Ca1Ba2Cu2O,5,106.0
Y1Ba2Cu3O6.8,4,92.0
Y1Ba2Cu3O,4,89.0
Y1Ba2Cu3O7,4,91.2
Bi2.2Ca1Sr1.9Cu2O8,5,86.5
Bi2Sr1.3Ca0.7Cu1O6.15,5,84.0
Bi0.8Pb0.2Sb0.05Sr1Ca1Cu2O,7,93.0
Bi0.8Pb0.2Sr1Ca1Cu2O,6,108.0
Y1Ba2Cu2.82Fe0.18O,5,55.0
Y1Ba2Cu2.7Fe0.3O,5,39.0
Bi4.4Sr3.6Ca2Cu4O,5,83.6
Pb0.3Bi1.7Sr2Ca2Cu3O10,6,107.0
Y1Ba2Cu3O6.55,4,89.0
Ba0.6K0.4Bi1O3,4,31.5
Y1Ba2Cu2.85Ag0.15O7,5,90.0
Y1Ba2Cu3O6.9,4,90.6
Y1Ba2Cu3O6.82,4,91.2
Y1Ba2Cu3O6.66,4,88.9
Y1Ba2Cu3O6.47,4,43.6
Y1Ba2Cu3O6.46,4,45.0
Tl1Sr2Ca0.5Sm0.5Cu2O6.75,6,37.6
Y1Ba2Cu4O8,4,82.0
Tl1Ba1.1La0.9Cu1O5,5,39.6
Tl1Ba1.2La0.8Cu1O5,5,41.1
Nd1.85Ce0.15Cu1O4,4,21.0
Y1Ba2Cu3O6.86,4,91.0
Y1Ba2Cu3O6.96,4,85.0
Tl2Ca2Ba2Cu3O,5,120.0
Y1Ba2Cu2.95Ni0.05O,5,86.8
Y1Ba2Cu2.9Ni0.1O,5,82.9
Y1Ba2Cu2.95Zn0.05O,5,72.2
Y1Ba2Cu2.9Zn0.1O,5,54.3
Nd1Ba2Cu3O,4,93.0
Nd1Ba2Cu2.95Ni0.05O,5,85.0
Nd1Ba2Cu2.9Ni0.1O,5,70.9
Nd1Ba2Cu2.95Zn0.05O,5,65.0
Nd1Ba2Cu2.9Zn0.1O,5,36.9
Gd1Ba2Cu3O,4,93.4
Gd1Ba2Cu2.95Ni0.05O,5,86.2
Gd1Ba2Cu2.9Ni0.1O,5,84.5
Gd1Ba2Cu2.95Zn0.05O,5,72.5
Gd1Ba2Cu2.9Zn0.1O,5,53.6
Dy1Ba2Cu3O,4,91.3
Dy1Ba2Cu2.95Ni0.05O,5,87.5
Dy1Ba2Cu2.9Ni0.1O,5,81.8
Dy1Ba2Cu2.95Zn0.05O,5,71.5
Dy1Ba2Cu2.9Zn0.1O,5,49.3
Er1Ba2Cu3O,4,91.7
Er1Ba2Cu2.95Ni0.05O,5,87.8
Er1Ba2Cu2.9Ni0.1O,5,83.3
Er1Ba2Cu2.95Zn0.05O,5,73.1
Er1Ba2Cu2.9Zn0.1O,5,51.8
Bi2Sr1.3Ca0.7Cu1O8,5,84.0
La1Ba1Ca1Cu3O6.98,5,76.35
Er1Ba2Cu3O6.15,4,35.0
Er1Ba2Cu3O6.34,4,20.0
Er1Ba2Cu3O6.31,4,55.0
Er1Ba2Cu3O6.67,4,85.0
Er1Ba2Cu3O6.91,4,92.0
Ba0.6K0.4Bi1O3,4,28.9
La1.9Sr0.1Cu1O4,4,26.2
La1.85Sr0.15Cu1O4,4,28.6
La1.8Sr0.2Cu1O4,4,18.9
La1.7Sr0.3Cu1O4,4,15.2
Y1Ba2Cu3O7,4,91.7
Y1Ba2Cu3O7,4,94.0
Y1Ba2Cu3O6.962,4,92.2
Y1Ba2La1.94Cu3O6.963,5,91.8
Y1Ba1.92La0.08Cu3O6.965,5,92.6
Y1Ba1.9La0.1Cu3O6.975,5,93.9
Y1Ba1.86La0.14Cu3O6.98,5,89.4
Y1Ba1.8La0.2Cu3O7.013,5,80.5
Y1Ba1.76La0.24Cu3O7.024,5,73.4
Y1Ba1.7La0.3Cu3O7.059,5,61.4
Y1Ba1.66La0.34Cu3O7.073,5,56.0
Y1Ba1.6La0.4Cu3O7.083,5,49.4
Y1Ba1.54La0.46Cu3O7.118,5,44.1
Y1Ba2Cu2.95Co0.05O6.88,5,91.2
Y1Ba2Cu2.9Co0.1O6.89,5,55.3
Y1Ba2Cu2.7Co0.3O6.93,5,16.9
Y1Ba2Cu2.82Fe0.18O7,5,74.0
Y1Ba2Cu2.64Fe0.36O7,5,32.0
Bi2Ca1Sr2Cu2O8,5,81.0
Bi2Ca2Sr1Cu2O8,5,70.0
Bi2Ca1.5Y0.5Sr1Cu2O8,6,65.0
Tl2Ca2Ba2Cu3O,5,125.0
Tl2Ca1Ba2Cu2O,5,108.0
Nd1.85Ce0.15Cu1O4,4,22.3
