Environment,Material Group,Material Family,Material,Rate (mm/yr) or Rating,Rate (mils/yr) or Rating,Localized Attack,UNS,Condition/Comment,Concentration (Vol %),Temperature (deg C),Temperature (deg F),Duration,Reference #,Reference,rate_mm_yr_numeric,rate_letter_grade
Acetic Acid,Copper and alloys,Copper,C11000 ,0.09,3.6,,C11000,Cold worked. Test specimens were exposed in cycle feed lines,90,30-50,86-122,792 h,69.0,"Metals Handbook, Ninth Edition, Vol 2, Properties and Selection: Nonferrous Alloys and Pure Metals, American Society for Metals, Metals Park, OH, 1979, p 476",0.09,
Acetic Acid,Copper and alloys,Silicon bronze,C65500 ,0.213,8.4,,C65500,Plus an acetic anhydride acetone mixture,,110-140,230-285,1115 h,70.0,"Metals Handbook, Ninth Edition, Vol 13, Corrosion, ASM International, Metals Park, OH, 1987, p 629",0.213,
Acetic Acid,Copper and alloys,Copper,C11000 ,0.03 max ,1.2 max ,,C11000,"Test specimens were exposed in the acetic acid recovery column, where concentration of the acetic acid was 45% max",45,,,1038 h,69.0,"Metals Handbook, Ninth Edition, Vol 2, Properties and Selection: Nonferrous Alloys and Pure Metals, American Society for Metals, Metals Park, OH, 1979, p 476",0.03,
Acetic Acid,Copper and alloys,Copper,C11000 ,0.274,10.8,,C11000,Test specimens were exposed to crude by-product acetic acid (approx. 25% concentration) in pump suction line from storage tank,25,,,432 h,69.0,"Metals Handbook, Ninth Edition, Vol 2, Properties and Selection: Nonferrous Alloys and Pure Metals, American Society for Metals, Metals Park, OH, 1979, p 476",0.274,
Acetic Acid,Copper and alloys,Copper,C11000 ,0.152,6,,C11000,Test specimens were exposed to crude by-product acetic acid (approx. 25% concentration) in pump suction line from storage tank,25,,,792 h,69.0,"Metals Handbook, Ninth Edition, Vol 2, Properties and Selection: Nonferrous Alloys and Pure Metals, American Society for Metals, Metals Park, OH, 1979, p 476",0.152,
Acetic Acid,Copper and alloys,Copper,C11000 ,0.097-0.116 ,3.8-4.4 ,,C11000,"With 5% acetic anhydride, liquid phase",95,120,250,865 h,70.0,"Metals Handbook, Ninth Edition, Vol 13, Corrosion, ASM International, Metals Park, OH, 1987, p 629",0.10650000000000001,
Acetic Acid,Copper and alloys,Copper,C11000 ,0.102-0.104 ,4.0-4.1 ,,C11000,"With 5% acetic anhydride, vapor phase",95,120,250,865 h,70.0,"Metals Handbook, Ninth Edition, Vol 13, Corrosion, ASM International, Metals Park, OH, 1987, p 629",0.103,
Acetic Acid,Copper and alloys,Copper,C11000 ,0.084-0.090 ,3.3-3.6 ,,C11000,With 50% acetic anhydride,50,150,300,2448 h,70.0,"Metals Handbook, Ninth Edition, Vol 13, Corrosion, ASM International, Metals Park, OH, 1987, p 629",0.087,
Acetic Acid,Copper and alloys,Copper,C11000 ,0.12-0.533 ,4.7-21.0 ,,C11000,With an equal part acetic anhydride,,130-145,265-295,1115 h,70.0,"Metals Handbook, Ninth Edition, Vol 13, Corrosion, ASM International, Metals Park, OH, 1987, p 629",0.3265,
Acetic Acid,Copper and alloys,Copper,Electrolytic copper ,B (Good),B (Good),,C11000,,,,,,93.0,"H. Leidheiser, Jr., The Corrosion of Copper, Tin and Their Alloys, John Wiley & Sons, New York, 1971, p 90-96",,B
Acetic Acid,Copper and alloys,Copper,Phosphor copper ,B (Good),B (Good),,C12200,,,,,,93.0,"H. Leidheiser, Jr., The Corrosion of Copper, Tin and Their Alloys, John Wiley & Sons, New York, 1971, p 90-96",,B
Acetic Acid,Copper and alloys,Copper,Copper  ,0.183,7.2,,,Brazed with BCuP-5 filler metal. Test specimens were exposed in cycle feed lines,90,,,1512 h,69.0,"Metals Handbook, Ninth Edition, Vol 2, Properties and Selection: Nonferrous Alloys and Pure Metals, American Society for Metals, Metals Park, OH, 1979, p 476",0.183,
Acetic Acid,Copper and alloys,Copper,Copper  ,0.12,4.8,,,Brazed with BCuP-5 filler metal. Test specimens were exposed in cycle feed lines,90,,,4000 h,69.0,"Metals Handbook, Ninth Edition, Vol 2, Properties and Selection: Nonferrous Alloys and Pure Metals, American Society for Metals, Metals Park, OH, 1979, p 476",0.12,
Acetic Acid,Copper and alloys,Copper,Copper  ,0.183,7.2,,,Brazed BAg filler metal. Test specimens were exposed in cycle feed lines,90,,,1512 h,69.0,"Metals Handbook, Ninth Edition, Vol 2, Properties and Selection: Nonferrous Alloys and Pure Metals, American Society for Metals, Metals Park, OH, 1979, p 476",0.183,
Acetic Acid,Copper and alloys,Copper,Copper  ,0.12,4.8,,,Brazed BAg filler metal. Test specimens were exposed in cycle feed lines,90,,,4000 h,69.0,"Metals Handbook, Ninth Edition, Vol 2, Properties and Selection: Nonferrous Alloys and Pure Metals, American Society for Metals, Metals Park, OH, 1979, p 476",0.12,
Acetic Acid,Copper and alloys,Copper,Copper  ,0.03 max ,1.2 max ,,,"Brazed BAg filler metal. Test specimens were exposed in the acetic acid recovery column, where concentration of the acetic acid was 45% max",45,,,1038 h,69.0,"Metals Handbook, Ninth Edition, Vol 2, Properties and Selection: Nonferrous Alloys and Pure Metals, American Society for Metals, Metals Park, OH, 1979, p 476",0.03,
Acetic Acid,Copper and alloys,Copper-nickel,70-30 cupronickel ,B (Good),B (Good),,C71500,,,,,,93.0,"H. Leidheiser, Jr., The Corrosion of Copper, Tin and Their Alloys, John Wiley & Sons, New York, 1971, p 90-96",,B
Acetic Acid,Copper and alloys,Copper-nickel,90-10 cupronickel ,B (Good),B (Good),,C70600,,,,,,93.0,"H. Leidheiser, Jr., The Corrosion of Copper, Tin and Their Alloys, John Wiley & Sons, New York, 1971, p 90-96",,B
Acetic Acid,Copper and alloys,Leaded brass,Architectural bronze ,D (Poor),D (Poor),,C38500,,,,,,93.0,"H. Leidheiser, Jr., The Corrosion of Copper, Tin and Their Alloys, John Wiley & Sons, New York, 1971, p 90-96",,D
Acetic Acid,Copper and alloys,Leaded brass,Free-cutting brass ,D (Poor),D (Poor),,C36000,,,,,,93.0,"H. Leidheiser, Jr., The Corrosion of Copper, Tin and Their Alloys, John Wiley & Sons, New York, 1971, p 90-96",,D
Acetic Acid,Copper and alloys,Nickel-silver,Nickel-silver ,B (Good),B (Good),,,,18,,,,93.0,"H. Leidheiser, Jr., The Corrosion of Copper, Tin and Their Alloys, John Wiley & Sons, New York, 1971, p 90-96",,B
Acetic Acid,Copper and alloys,Phosphor bronze,"Phosphor bronze, 5% Sn. ",B (Good),B (Good),,C51000,,,,,,93.0,"H. Leidheiser, Jr., The Corrosion of Copper, Tin and Their Alloys, John Wiley & Sons, New York, 1971, p 90-96",,B
Acetic Acid,Copper and alloys,Phosphor bronze,"Phosphor bronze, 8% Sn. ",B (Good),B (Good),,C52100,,,,,,93.0,"H. Leidheiser, Jr., The Corrosion of Copper, Tin and Their Alloys, John Wiley & Sons, New York, 1971, p 90-96",,B
Chlorine,Miscellaneous,Noble metals,Gold,0.3,12,,P00016,Dry,,22,72,,250.0,"Metals Handbook, 9th ed., Vol 13, Corrosion, ASM International, 1987, p 805",0.3,
Acetic Acid,Copper and alloys,Silicon bronze,C65500 ,0.07-0.09  ,2.7-3.6 ,,C65500,Plus an acetic anhydride acetone mixture,,110-140,230-285,2952 h,70.0,"Metals Handbook, Ninth Edition, Vol 13, Corrosion, ASM International, Metals Park, OH, 1987, p 629",0.08,
Acetic Acid,Copper and alloys,Silicon bronze,C65500 ,0.03 max ,1.2 max ,,C65500,"Test specimens were exposed in the acetic acid recovery column, where concentration of the acetic acid was 45% max",45,,,1038 h,69.0,"Metals Handbook, Ninth Edition, Vol 2, Properties and Selection: Nonferrous Alloys and Pure Metals, American Society for Metals, Metals Park, OH, 1979, p 476",0.03,
Acetic Acid,Copper and alloys,Silicon bronze,C65500 ,0.116-0.236 ,4.6-9.3 ,,C65500,With an equal part acetic anhydride,,130-145,265-295,1115 h,70.0,"Metals Handbook, Ninth Edition, Vol 13, Corrosion, ASM International, Metals Park, OH, 1987, p 629",0.176,
Acetic Acid,Copper and alloys,Silicon bronze,"Silicon bronze, high ",B (Good),B (Good),,C65500,,,,,,93.0,"H. Leidheiser, Jr., The Corrosion of Copper, Tin and Their Alloys, John Wiley & Sons, New York, 1971, p 90-96",,B
Acetic Acid,Copper and alloys,Silicon bronze,"Silicon bronze, low ",B (Good),B (Good),,C65100,,,,,,93.0,"H. Leidheiser, Jr., The Corrosion of Copper, Tin and Their Alloys, John Wiley & Sons, New York, 1971, p 90-96",,B
Acetic Acid,Copper and alloys,Tin brass,Admiralty brass ,C (Questionable),C (Questionable),,C44300,,,,,,93.0,"H. Leidheiser, Jr., The Corrosion of Copper, Tin and Their Alloys, John Wiley & Sons, New York, 1971, p 90-96",,C
Acetic Acid,Copper and alloys,Tin brass,Naval brass ,D (Poor),D (Poor),,C46400,,,,,,93.0,"H. Leidheiser, Jr., The Corrosion of Copper, Tin and Their Alloys, John Wiley & Sons, New York, 1971, p 90-96",,D
Acetic Acid,Miscellaneous,Lead and alloys,Lead ,0.5 max ,20 max ,,L50045,Glacial,,24,75,,95.0,"Lead for Corrosion Resistant Applications: A Guide, Lead Industries Association, Inc. New York, p 72",0.5,
Acetic Acid,Miscellaneous,Lead and alloys,Lead ,0.25 max ,10 max ,,L50045,Glacial,,Room,Room,,17.0,"Metals Handbook, Ninth Edition, Vol 13, Corrosion, ASM International, Metals Park, OH, 1987, p 804",0.25,
Acetic Acid,Miscellaneous,Lead and alloys,High purity lead ,1.05,42,,L50001,,0.1,20,68,5 h,244.0,"S. Sankarapapavinasam, F. Pushpanaden, and M.F. Ahmed, Hydrazine and Substituted Hydrazines as Corrosion Inhibitors for Lead in Acetic Acid, British Corrosion Journal, Vol 24, (No. 1), 1989, p 39-42",1.05,
Acetic Acid,Miscellaneous,Lead and alloys,High purity lead ,1.23,49,,L50001,,1,20,68,5 h,244.0,"S. Sankarapapavinasam, F. Pushpanaden, and M.F. Ahmed, Hydrazine and Substituted Hydrazines as Corrosion Inhibitors for Lead in Acetic Acid, British Corrosion Journal, Vol 24, (No. 1), 1989, p 39-42",1.23,
Acetic Acid,Miscellaneous,Lead and alloys,High purity lead ,1.33,53,,L50001,,2,20,68,5 h,244.0,"S. Sankarapapavinasam, F. Pushpanaden, and M.F. Ahmed, Hydrazine and Substituted Hydrazines as Corrosion Inhibitors for Lead in Acetic Acid, British Corrosion Journal, Vol 24, (No. 1), 1989, p 39-42",1.33,
Acetic Acid,Miscellaneous,Lead and alloys,High purity lead ,1.58,63,,L50001,,3,20,68,5 h,244.0,"S. Sankarapapavinasam, F. Pushpanaden, and M.F. Ahmed, Hydrazine and Substituted Hydrazines as Corrosion Inhibitors for Lead in Acetic Acid, British Corrosion Journal, Vol 24, (No. 1), 1989, p 39-42",1.58,
Acetic Acid,Miscellaneous,Lead and alloys,High purity lead ,2.05,82,,L50001,,4,20,68,5 h,244.0,"S. Sankarapapavinasam, F. Pushpanaden, and M.F. Ahmed, Hydrazine and Substituted Hydrazines as Corrosion Inhibitors for Lead in Acetic Acid, British Corrosion Journal, Vol 24, (No. 1), 1989, p 39-42",2.05,
Acetic Acid,Miscellaneous,Lead and alloys,High purity lead ,2.45,98,,L50001,,5,20,68,5 h,244.0,"S. Sankarapapavinasam, F. Pushpanaden, and M.F. Ahmed, Hydrazine and Substituted Hydrazines as Corrosion Inhibitors for Lead in Acetic Acid, British Corrosion Journal, Vol 24, (No. 1), 1989, p 39-42",2.45,
Acetic Acid,Miscellaneous,Lead and alloys,High purity lead ,2.65,106,,L50001,,6,20,68,5 h,244.0,"S. Sankarapapavinasam, F. Pushpanaden, and M.F. Ahmed, Hydrazine and Substituted Hydrazines as Corrosion Inhibitors for Lead in Acetic Acid, British Corrosion Journal, Vol 24, (No. 1), 1989, p 39-42",2.65,
Acetic Acid,Miscellaneous,Lead and alloys,High purity lead ,2.78,111,,L50001,,7,20,68,5 h,244.0,"S. Sankarapapavinasam, F. Pushpanaden, and M.F. Ahmed, Hydrazine and Substituted Hydrazines as Corrosion Inhibitors for Lead in Acetic Acid, British Corrosion Journal, Vol 24, (No. 1), 1989, p 39-42",2.78,
Acetic Acid,Miscellaneous,Lead and alloys,High purity lead ,3.1,124,,L50001,,10,20,68,5 h,244.0,"S. Sankarapapavinasam, F. Pushpanaden, and M.F. Ahmed, Hydrazine and Substituted Hydrazines as Corrosion Inhibitors for Lead in Acetic Acid, British Corrosion Journal, Vol 24, (No. 1), 1989, p 39-42",3.1,
Acetic Acid,Miscellaneous,Magnesium and alloys,Magnesium ,D (Poor),D (Poor),,,,All,,,,119.0,"Dow Chemical Co., Midland, MI",,D
Acetic Acid,Miscellaneous,Noble metals,Gold ,0.05 max ,2 max ,,P00016,Glacial,,100,212,,8.0,"Metals Handbook, Ninth Edition, Vol 13, Corrosion, ASM International, Metals Park, OH, 1987, p 798",0.05,
Acetic Acid,Miscellaneous,Noble metals,Iridium ,A (Resistant),A (Resistant),,,Glacial,,100,212,,29.0,"Metals Handbook, Ninth Edition, Vol 13, Corrosion, ASM International, Metals Park, OH, 1987, p 805",,A
Acetic Acid,Miscellaneous,Noble metals,Rhodium ,A (Resistant),A (Resistant),,P05990,Glacial,,100,212,,29.0,"Metals Handbook, Ninth Edition, Vol 13, Corrosion, ASM International, Metals Park, OH, 1987, p 805",,A
Acetic Acid,Miscellaneous,Noble metals,Silver ,0.05 max ,2 max ,,P07010,,All,Boiling,Boiling,,4.0,"Metals Handbook, Ninth Edition, Vol 13, Corrosion, ASM International, Metals Park, OH, 1987, p 795",0.05,
Acetic Acid,Miscellaneous,Tin and alloys,Tin ,A (Resistant),A (Resistant),,,,10,20,68,,94.0,"H. Leidheiser, Jr., The Corrosion of Copper, Tin and Their Alloys, John Wiley & Sons, New York, 1971, p 287-290",,A
Acetic Acid,Miscellaneous,Tin and alloys,Tin ,D (Poor),D (Poor),,,,10,60,140,,94.0,"H. Leidheiser, Jr., The Corrosion of Copper, Tin and Their Alloys, John Wiley & Sons, New York, 1971, p 287-290",,D
Acetic Acid,Miscellaneous,Tin and alloys,Tin ,D (Poor),D (Poor),,,,10,100,212,,94.0,"H. Leidheiser, Jr., The Corrosion of Copper, Tin and Their Alloys, John Wiley & Sons, New York, 1971, p 287-290",,D
Acetic Acid,Miscellaneous,Tin and alloys,Tin ,D (Poor),D (Poor),,,Glacial,,20,68,,94.0,"H. Leidheiser, Jr., The Corrosion of Copper, Tin and Their Alloys, John Wiley & Sons, New York, 1971, p 287-290",,D
Acetic Acid,Miscellaneous,Tin and alloys,Tin ,D (Poor),D (Poor),,,Glacial,,60,140,,94.0,"H. Leidheiser, Jr., The Corrosion of Copper, Tin and Their Alloys, John Wiley & Sons, New York, 1971, p 287-290",,D
Acetic Acid,Miscellaneous,Tin and alloys,Tin ,D (Poor),D (Poor),,,Glacial,,100,212,,94.0,"H. Leidheiser, Jr., The Corrosion of Copper, Tin and Their Alloys, John Wiley & Sons, New York, 1971, p 287-290",,D
Acetic Acid,Miscellaneous,Tin and alloys,Tin ,0.07,3,,,Hydrogen,6,,,,59.0,"R.M. Burns and W.W. Bradley, Protective Coatings for Metals, Third Edition, Reinhold Publishing, New York, 1967, p 211",0.07,
Acetic Acid,Miscellaneous,Tin and alloys,Tin ,11,450,,,Oxygen,6,,,,59.0,"R.M. Burns and W.W. Bradley, Protective Coatings for Metals, Third Edition, Reinhold Publishing, New York, 1967, p 211",11.0,
Acetic Acid,Nickel and alloys,Nickel,Nickel 200 ,0.81,32,,N02200,3200 ppm Cu2+ added as acetate,100,Boiling,Boiling,,65.0,"Corrosion Engineering Bulletin, No. 6, International Nickel Company, Inc.",0.81,
Acetic Acid,Nickel and alloys,Nickel,Nickel 200 ,0.71,28,,N02200,3200 ppm Cu2+ added as acetate,50,Boiling,Boiling,,65.0,"Corrosion Engineering Bulletin, No. 6, International Nickel Company, Inc.",0.71,
Acetic Acid,Nickel and alloys,Nickel,Nickel 200 ,0.084,3.3,,N02200,Aerated,30,30,86,,21.0,"S.W. Ciaraldi, M.R. Berry, and J.M. Johnson, Paper 98, presented at Corrosion/82, National Association of Corrosion Engineers, Houston, 1982",0.084,
